Plot Effort Count
1 3 20
1 4 21
1 4 24
1 3 11
1 4 27
1 4 19
2 3 13
2 2 7
2 3 10
2 2 8
2 4 14
2 1 1
3 5 34
3 2 12
3 2 13
3 4 31
3 1 3
3 2 15
3 4 28
3 3 20
3 5 30
3 2 13
3 3 13
4 1 2
4 4 12
4 5 17
4 2 9
4 5 21
4 1 4
4 3 7
4 4 18
4 5 16
4 5 17
4 4 18
4 2 6
4 3 12
4 3 10
5 3 9
5 4 14
5 5 21
5 3 13
5 3 10
5 4 19
5 4 13
5 4 13
5 1 6
6 2 10
6 5 23
6 1 3
6 5 20
6 1 7
6 2 5
6 5 15
7 3 11
7 4 22
7 2 5
7 2 3
7 4 10
7 5 16
7 2 2
7 3 6
7 3 11
7 2 9
7 4 14
7 4 15
7 3 7
8 2 11
8 1 7
8 2 9
8 2 5
8 1 3
8 4 20
8 2 7
9 2 7
9 4 12
9 4 15
9 2 5
9 3 10
9 3 10
9 4 17
9 4 13
9 3 15
9 4 10
9 2 7
10 5 16
10 4 15
10 2 13
10 3 11
10 2 10
10 3 14
10 2 4
10 2 8
10 3 15
10 3 11
10 3 9
10 4 21
10 4 17
