Year	Catch	Abundance	CV
1922	14	NA	NA
1923	20	NA	NA
1924	94	NA	NA
1925	30	NA	NA
1926	24	NA	NA
1927	22	NA	NA
1928	24	NA	NA
1929	24	NA	NA
1930	27	NA	NA
1931	301	NA	NA
1932	66	NA	NA
1933	24	NA	NA
1934	24	NA	NA
1935	23	NA	NA
1936	15	NA	NA
1937	272	NA	NA
1938	7	NA	NA
1939	3	NA	NA
1940	0	NA	NA
1941	0	NA	NA
1942	0	NA	NA
1943	0	NA	NA
1944	0	NA	NA
1945	0	NA	NA
1946	47	NA	NA
1947	51	NA	NA
1948	21	NA	NA
1949	21	NA	NA
1950	36	NA	NA
1951	15	NA	NA
1952	16	NA	NA
1953	16	NA	NA
1954	22	NA	NA
1955	22	NA	NA
1956	28	NA	NA
1957	21	NA	NA
1958	8	NA	NA
1959	1	NA	NA
1960	0	NA	NA
1961	0	NA	NA
1962	0	NA	NA
1963	0	NA	NA
1964	1	NA	NA
1965	1	NA	NA
1966	0	NA	NA
1967	0	NA	NA
1968	3	NA	NA
1969	0	NA	NA
1970	0	NA	NA
1971	0	NA	NA
1972	1	NA	NA
1973	2	NA	NA
1974	5	NA	NA
1975	2	NA	NA
1976	9	NA	NA
1977	13	NA	NA
1978	8	NA	NA
1979	7	NA	NA
1980	13	NA	NA
1981	7	NA	NA
1982	9	NA	NA
1983	8	NA	NA
1984	10	NA	NA
1985	9	NA	NA
1986	9	NA	NA
1987	9	NA	NA
1988	9	1096	0.35
1989	14	NA	NA
1990	19	NA	NA
1991	18	NA	NA
1992	22	NA	NA
1993	14	178	0.5
1994	22	NA	NA
1995	12	NA	NA
1996	19	NA	NA
1997	13	NA	NA
1998	11	NA	NA
1999	9	NA	NA
2000	7	NA	NA
2001	8	NA	NA
2002	13	NA	NA
2003	9	980	0.48
2004	13	NA	NA
