	Distance along stream										
Steam	0	10	20	30	40	50	60	70	80	90	100
1	7	9	16	7	9	12	16	18	27	33	44
2	7	9	9	12	21	24	30	56	56	63	69
3	7	8	10	12	16	25	32	33	46	50	64
4	9	17	18	24	30	36	46	70	90	108	134
5	9	8	16	23	33	52	79	111	128	166	266
6	13	7	21	19	33	37	51	58	80	101	134
7	6	11	16	16	29	26	41	42	53	71	81
8	18	17	26	27	27	36	45	68	76	86	127
9	11	17	25	13	22	37	44	48	52	50	66
10	11	13	20	17	26	15	22	26	28	38	28
11	18	22	23	35	41	39	46	61	67	93	124
12	15	22	25	39	54	73	79	103	145	181	249
13	16	29	36	46	75	86	125	183	250	389	593
14	20	26	30	26	27	57	46	47	79	78	89
15	26	23	27	43	49	48	83	97	127	166	201																																		
16	21	21	24	18	14	18	16	14	14	9	15																																		
17	29	32	52	45	81	84	124	171	239	309	430																																		
18	24	29	22	21	37	36	35	38	56	41	46																																		
19	42	33	56	72	109	135	162	253	362	524	737																																		
20	22	36	32	41	46	75	88	100	130	131	205																																		

Variance co-variance matrix																																													
	Mu-F	Mu-L	Sigma-Mu	alpha-bar	Sigma-Alpha	Mu-1	Mu-2	Mu-3	Mu-4	Mu-5	Mu-6	Mu-7	Mu-8	Mu-9	Mu-10	Mu-11	Mu-12	Mu-13	Mu-14	Mu-15	Mu-16	Mu-17	Mu-18	Mu-19	Mu-20	Alpha-1	Alpha-2	Alpha-3	Alpha-4	Alpha-5	Alpha-6	Alpha-7	Alpha-8	Alpha-9	Alpha-10	Alpha-11	Alpha-12	Alpha-13	Alpha-14	Alpha-15	Alpha-16	Alpha-17	Alpha-18	Alpha-19	Alpha-20
0.389738	-0.2341213	-0.002752345	-9.96E-05	-3.06E-05	0.2439696	0.2222903	0.2257333	0.1895778	0.1723176	0.1676377	0.1589022	0.1231824	0.1052461	0.0842151	0.05025234	0.02374371	9.22E-05	-0.03240385	-0.05848439	-0.09490602	-0.1131603	-0.1528734	-0.1659566	-0.2071369	-0.000523212	-0.000384521	-0.000369391	-0.000240627	-0.000211701	-0.000189518	-0.000174901	-0.000115313	-9.60E-05	-7.61E-05	-3.90E-05	-1.71E-05	-2.35E-07	2.11E-05	3.55E-05	6.68E-05	5.99E-05	8.77E-05	7.83E-05	0.000102149	
-0.2341213	0.7502815	0.001554641	-0.000120022	5.32E-05	-0.1447251	-0.1123871	-0.08984057	-0.04974224	-0.0183843	0.01852071	0.06075355	0.1010588	0.1496399	0.2031101	0.2355182	0.2714556	0.3019451	0.3809126	0.4184377	0.5021892	0.4932194	0.5888584	0.5688262	0.6683516	0.00030831	0.000193633	0.000145996	6.28E-05	2.26E-05	-2.11E-05	-6.74E-05	-9.47E-05	-0.000136991	-0.000185991	-0.000181822	-0.000192171	-0.000200901	-0.000252423	-0.000255859	-0.000354514	-0.000261848	-0.000339877	-0.000268867	-0.000330579	
-0.002752345	0.001554641	0.01486272	8.06E-07	-1.03E-06	0.000908845	0.005671993	-0.007587604	0.01610765	-0.00689571	-0.004137798	-0.01870724	0.006575629	-0.001320691	-0.01072361	0.004078834	-0.000862645	-0.01488131	0.003325879	-0.003348572	-3.24E-05	0.008233527	-0.000342929	0.01727057	-0.005159731	-1.93E-06	-9.79E-06	1.24E-05	-2.04E-05	8.45E-06	4.67E-06	2.05E-05	-6.13E-06	1.21E-06	9.71E-06	-3.14E-06	6.10E-07	9.90E-06	-2.19E-06	2.05E-06	1.52E-07	-4.37E-06	2.22E-07	-8.17E-06	2.55E-06	
-9.96E-05	-0.000120022	8.06E-07	4.44E-06	5.84E-09	-0.000104386	-9.65E-05	-0.000106245	-9.33E-05	-9.44E-05	-0.000103898	-0.000114188	-0.000105566	-0.000112916	-0.00012074	-0.000110926	-0.000108149	-0.000105462	-0.000116026	-0.000114321	-0.000126597	-0.000110179	-0.00012368	-0.000107882	-0.000121221	2.71E-07	1.91E-07	2.03E-07	1.33E-07	1.24E-07	1.33E-07	1.48E-07	1.15E-07	1.28E-07	1.55E-07	1.02E-07	8.50E-08	7.43E-08	9.57E-08	7.97E-08	1.76E-07	6.36E-08	1.01E-07	5.41E-08	7.00E-08	
-3.06E-05	5.32E-05	-1.03E-06	5.84E-09	2.35E-06	-1.02E-05	-3.07E-05	-1.72E-05	-3.08E-05	-4.21E-05	-1.80E-05	1.85E-06	-2.76E-06	1.73E-05	4.44E-05	1.43E-05	3.24E-06	-6.18E-06	3.36E-05	2.31E-05	9.08E-05	1.97E-05	6.49E-05	2.12E-05	4.93E-05	1.16E-08	6.29E-08	3.02E-08	4.89E-08	6.33E-08	2.72E-08	-5.29E-09	4.33E-09	-3.03E-08	-1.07E-07	-1.38E-08	3.02E-09	1.03E-08	-3.36E-08	-1.20E-08	-3.21E-07	-5.74E-09	-8.26E-08	-5.59E-09	-2.54E-08	
0.2439696	-0.1447251	0.000908845	-0.000104386	-1.02E-05	0.5373793	0.140763	0.1407043	0.1221374	0.1072262	0.1049758	0.09710169	0.07916542	0.06669842	0.05206122	0.03325002	0.01573142	-0.001606887	-0.01842892	-0.03597547	-0.0577722	-0.06814875	-0.0941925	-0.09956233	-0.1290537	-0.001151474	-0.000243682	-0.000230521	-0.000155118	-0.000131772	-0.000118797	-0.000107116	-7.42E-05	-6.11E-05	-4.78E-05	-2.60E-05	-1.14E-05	9.45E-07	1.18E-05	2.17E-05	3.89E-05	3.60E-05	5.35E-05	4.70E-05	6.35E-05	
0.2222903	-0.1123871	0.005671993	-9.65E-05	-3.07E-05	0.140763	0.5144346	0.1276979	0.1191786	0.09886333	0.09858442	0.08766512	0.08016491	0.06724547	0.05188498	0.0401941	0.0233387	0.003557856	-0.004331939	-0.02172232	-0.03918814	-0.04594923	-0.07062827	-0.07029425	-0.1023693	-0.000302236	-0.000888972	-0.000209243	-0.000151431	-0.0001216	-0.000111621	-9.67E-05	-7.52E-05	-6.15E-05	-4.69E-05	-3.13E-05	-1.68E-05	-2.54E-06	2.60E-06	1.30E-05	2.85E-05	2.42E-05	4.05E-05	3.31E-05	5.04E-05	
0.2257333	-0.08984057	-0.007587604	-0.000106245	-1.72E-05	0.1407043	0.1276979	0.5608137	0.1078045	0.1087186	0.1074473	0.1110573	0.0816551	0.07732615	0.07204434	0.04739903	0.03561517	0.02886075	0.007220412	-0.003476645	-0.02120524	-0.03652442	-0.05059162	-0.06731501	-0.0764012	-0.000302273	-0.000221161	-0.000916731	-0.000136996	-0.000133641	-0.000121612	-0.000122435	-7.66E-05	-7.08E-05	-6.56E-05	-3.69E-05	-2.54E-05	-1.94E-05	-5.14E-06	1.87E-06	1.44E-05	1.92E-05	2.86E-05	3.17E-05	3.75E-05
0.1895778	-0.04974224	0.01610765	-9.33E-05	-3.08E-05	0.1221374	0.1191786	0.1078045	0.5244795	0.0865245	0.09087996	0.07320928	0.08727873	0.07298567	0.0556614	0.05775423	0.04103921	0.01466133	0.02599929	0.007652156	-0.000399548	-0.001299943	-0.0237405	-0.01214173	-0.05114581	-0.000262328	-0.000206436	-0.000176729	-0.000664885	-0.00010646	-0.00010292	-8.08E-05	-8.18E-05	-6.67E-05	-5.03E-05	-4.48E-05	-2.93E-05	-9.92E-06	-1.74E-05	-4.91E-06	1.79E-06	5.21E-07	1.36E-05	5.62E-06	2.51E-05
0.1723176	-0.0183843	-0.00689571	-9.44E-05	-4.21E-05	0.1072262	0.09886333	0.1087186	0.0865245	0.4953471	0.09220738	0.0988717	0.07622046	0.0764041	0.0761341	0.05767608	0.05090814	0.04832279	0.03488705	0.02922351	0.01971639	0.006748543	0.002063651	-0.01372139	-0.01307916	-0.000230369	-0.00017141	-0.000178239	-0.000110104	-0.000607959	-0.000104455	-0.000108962	-7.15E-05	-6.97E-05	-6.85E-05	-4.47E-05	-3.63E-05	-3.24E-05	-2.32E-05	-1.81E-05	-1.09E-05	-3.78E-06	-1.02E-06	6.34E-06	6.27E-06
0.1676377	0.01852071	-0.004137798	-0.000103898	-1.80E-05	0.1049758	0.09858442	0.1074473	0.09087996	0.09220738	0.5489519	0.102511	0.0858865	0.08707463	0.08779578	0.07279125	0.06637906	0.06225265	0.05617438	0.05064973	0.04618608	0.03315018	0.03168156	0.01732216	0.0186405	-0.000225759	-0.000170879	-0.000176204	-0.00011555	-0.000113388	-0.000619589	-0.00011304	-8.05E-05	-7.96E-05	-7.98E-05	-5.64E-05	-4.72E-05	-4.16E-05	-3.75E-05	-3.12E-05	-3.20E-05	-1.78E-05	-1.86E-05	-8.30E-06	-9.44E-06
0.1589022	0.06075355	-0.01870724	-0.000114188	1.85E-06	0.09710169	0.08766512	0.1110573	0.07320928	0.0988717	0.102511	0.619715	0.08637325	0.09826308	0.1114885	0.08340399	0.08375039	0.09502564	0.07579829	0.07884126	0.07634006	0.05401038	0.0667543	0.03345435	0.06273471	-0.000209099	-0.000151997	-0.000182151	-9.31E-05	-0.000121485	-0.000116015	-0.000680857	-8.10E-05	-9.00E-05	-0.000101818	-6.46E-05	-5.95E-05	-6.33E-05	-5.06E-05	-4.84E-05	-5.51E-05	-2.88E-05	-3.91E-05	-1.59E-05	-3.13E-05
0.1231824	0.1010588	0.006575629	-0.000105566	-2.76E-06	0.07916542	0.08016491	0.0816551	0.08727873	0.07622046	0.0858865	0.08637325	0.5692568	0.09421951	0.09447506	0.09453135	0.08932414	0.07938854	0.09521532	0.08980398	0.0975577	0.0902025	0.09378294	0.09048062	0.08749493	-0.000170589	-0.000139018	-0.000134073	-0.000110929	-9.37E-05	-9.72E-05	-9.54E-05	-0.00053148	-8.62E-05	-8.62E-05	-7.32E-05	-6.34E-05	-5.29E-05	-6.33E-05	-5.51E-05	-6.91E-05	-4.80E-05	-5.45E-05	-4.28E-05	-4.35E-05
0.1052461	0.1496399	-0.001320691	-0.000112916	1.73E-05	0.06669842	0.06724547	0.07732615	0.07298567	0.0764041	0.08707463	0.09826308	0.09421951	0.6092669	0.1120263	0.1063051	0.1062276	0.1059596	0.1174929	0.1182424	0.1302685	0.1176447	0.1325341	0.1183611	0.1343002	-0.000144066	-0.000116664	-0.000127033	-9.28E-05	-9.38E-05	-9.86E-05	-0.000108474	-8.83E-05	-0.000554344	-0.00010273	-8.23E-05	-7.53E-05	-7.06E-05	-7.82E-05	-7.25E-05	-9.40E-05	-6.25E-05	-7.72E-05	-5.60E-05	-6.66E-05
0.0842151	0.2031101	-0.01072361	-0.00012074	4.44E-05	0.05206122	0.05188498	0.07204434	0.0556614	0.0761341	0.08779578	0.1114885	0.09447506	0.1120263	0.6672249	0.1185509	0.1243998	0.135491	0.1415306	0.1494226	0.1661723	0.1472924	0.1751767	0.1481795	0.1861315	-0.000112934	-9.01E-05	-0.000118434	-7.07E-05	-9.34E-05	-9.93E-05	-0.00012307	-8.86E-05	-0.000102764	-0.00060442	-9.18E-05	-8.81E-05	-9.02E-05	-9.42E-05	-9.15E-05	-0.000121887	-7.82E-05	-0.000102246	-7.00E-05	-9.23E-05
0.05025234	0.2355182	0.004078834	-0.000110926	1.43E-05	0.03325002	0.0401941	0.04739903	0.05775423	0.05767608	0.07279125	0.08340399	0.09453135	0.1063051	0.1185509	0.6304979	0.1274569	0.1271992	0.1544022	0.1584703	0.1817726	0.1730522	0.1966159	0.1879753	0.2084473	-7.24E-05	-7.00E-05	-7.81E-05	-7.35E-05	-7.09E-05	-8.24E-05	-9.21E-05	-8.86E-05	-9.73E-05	-0.000108509	-0.000485811	-9.04E-05	-8.47E-05	-0.000102552	-9.70E-05	-0.000129131	-9.20E-05	-0.000113903	-8.89E-05	-0.000103268
0.02374371	0.2714556	-0.000862645	-0.000108149	3.24E-06	0.01573142	0.0233387	0.03561517	0.04103921	0.05090814	0.06637906	0.08375039	0.08932414	0.1062276	0.1243998	0.1274569	0.6314804	0.1423758	0.1673068	0.1763243	0.2026873	0.1921923	0.2236328	0.2091814	0.2426329	-3.48E-05	-4.09E-05	-5.89E-05	-5.23E-05	-6.26E-05	-7.52E-05	-9.25E-05	-8.37E-05	-9.72E-05	-0.000113442	-9.85E-05	-0.000446986	-9.48E-05	-0.000111012	-0.000107961	-0.000142279	-0.00010214	-0.000129178	-9.89E-05	-0.00012015
9.22E-05	0.3019451	-0.01488131	-0.000105462	-6.18E-06	-0.001606887	0.003557856	0.02886075	0.01466133	0.04832279	0.06225265	0.09502564	0.07938854	0.1059596	0.135491	0.1271992	0.1423758	0.6456132	0.1758436	0.1936604	0.2206002	0.2033154	0.2473208	0.2164208	0.2759603	2.34E-06	-6.75E-06	-4.78E-05	-1.89E-05	-5.95E-05	-7.06E-05	-0.000104848	-7.45E-05	-9.68E-05	-0.000123151	-9.83E-05	-0.00010095	-0.00042974	-0.000116594	-0.000118555	-0.000153537	-0.00010806	-0.000142575	-0.000102388	-0.000136609
