consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
AFG,ssp126,114.59630781201368,111.17690254025308,3.0756435857012243
AFG,ssp585,114.16216237500328,111.17690254025308,2.6851439161739035
AGO,ssp126,11399.090799876558,11069.8905846748,2.973834408602951
AGO,ssp585,11207.629249951875,11069.8905846748,1.2442640170966155
ALB,ssp126,10600.956782939678,10281.518926901832,3.106913076841495
ALB,ssp585,10637.436191386065,10281.518926901832,3.4617187111620944
ARE,ssp126,17937.588270818756,17135.635176319982,4.6800313279720545
ARE,ssp585,18080.50318903403,17135.635176319982,5.514053042047578
ARG,ssp126,10312.43967044047,10214.327382277308,0.9605359657200201
ARG,ssp585,10332.294595991316,10214.327382277308,1.154919059268558
ARM,ssp126,577.2558950130585,522.9762387609235,10.378990904202205
ARM,ssp585,572.1540351375253,522.9762387609235,9.403447562573342
ATG,ssp126,439.7838245775139,309.2648815154789,42.202962852574124
ATG,ssp585,442.121166534427,309.2648815154789,42.95873633240137
AUS,ssp126,94931.06937448874,92536.77067969665,2.5874024749357463
AUS,ssp585,94893.16237491336,92536.77067969665,2.5464382190005663
AUT,ssp126,14102.30756345043,13809.488448153896,2.1204197128364943
AUT,ssp585,14126.855514581259,13809.488448153896,2.2981811934517387
AZE,ssp126,2507.046867435164,2368.5653122750755,5.846642878809751
AZE,ssp585,2501.438071068473,2368.5653122750755,5.609841455702547
BDI,ssp126,777.4071237990863,754.9703655347439,2.9718727103216174
BDI,ssp585,779.3512023940067,754.9703655347439,3.229376671227869
BEL,ssp126,31955.377539509278,30634.297953814632,4.312419980005265
BEL,ssp585,32289.7837850518,30634.297953814632,5.404027321706666
BEN,ssp126,11363.526765395645,11312.566924704539,0.45047106488112404
BEN,ssp585,11154.193852169157,11312.566924704539,-1.3999746793941554
BFA,ssp126,44888.04428639271,46253.00368142828,-2.95107190105285
BFA,ssp585,43820.067928709876,46253.00368142828,-5.260060015724529
BGD,ssp126,8167.023653761844,8060.791346209572,1.3178893112302854
BGD,ssp585,8129.6245011904075,8060.791346209572,0.8539255269670617
BGR,ssp126,8313.48520502635,7903.989309740001,5.180876127726192
BGR,ssp585,8337.94087191847,7903.989309740001,5.490285287250017
BHR,ssp126,2487.923149460442,2371.6032636774225,4.904694118300926
BHR,ssp585,2498.382614864456,2371.6032636774225,5.345723423843193
BHS,ssp126,868.5760505432868,852.4698893584025,1.8893525021753348
BHS,ssp585,866.0044909237703,852.4698893584025,1.5876926251969292
BIH,ssp126,5250.894439465254,5250.609058279047,0.0054352015745265155
BIH,ssp585,5264.866446803379,5250.609058279047,0.27153780382586357
BLR,ssp126,18884.62532685613,16433.548055802345,14.915082626897247
BLR,ssp585,19020.476776559295,16433.548055802345,15.741754075094939
BLZ,ssp126,83334.87426275009,87299.25835205869,-4.541142919360338
BLZ,ssp585,78207.35840192898,87299.25835205869,-10.414635956543956
BOL,ssp126,1333.157592450462,1278.067321585524,4.31043575987805
BOL,ssp585,1337.662246969225,1278.067321585524,4.662894072729252
BRA,ssp126,64414.71099970537,66469.83305721612,-3.091811673036302
BRA,ssp585,62451.870726240515,66469.83305721612,-6.044790766236785
