sciname,eez_iso3c,ssp126,ssp585
engraulis ringens,ECU,-47.973671494752764,-48.92967065137479
orthopristis chrysoptera,MEX,0.21990288331800606,-3.1715556948661177
coryphaena hippurus,ALB,NA,NA
coryphaena hippurus,ASM,-1.5229016798070687,0.39350152090069784
coryphaena hippurus,CMR,2.2388622968132528,-1.3641932576463647
coryphaena hippurus,CHN,-1.8381017031949245,-1.6813380710648356
coryphaena hippurus,COD,-4.004539857775149,-4.095249337142581
coryphaena hippurus,COG,-3.445529935427169,-3.546210429344912
coryphaena hippurus,COK,-2.754305729719787,-1.612167634118554
coryphaena hippurus,GRC,37.65383242965555,24.161831405235155
coryphaena hippurus,HRV,NA,NA
coryphaena hippurus,ECU,0.7192878331730272,0.7129789242875664
coryphaena hippurus,EGY,10.241103112799754,-2.014857826267744
coryphaena hippurus,SLV,-3.8438707078436702,-5.1254940738808745
coryphaena hippurus,GNQ,-5.152749504736922,-5.655159619238513
coryphaena hippurus,FRA,16.43200420482488,16.802713207711093
coryphaena hippurus,GAB,-3.0795793132606506,-2.888783044026365
coryphaena hippurus,GMB,-4.525945571610649,-3.9408631749187713
coryphaena hippurus,GRC,23.766649698919494,16.292392590178796
coryphaena hippurus,GTM,-6.716970633732457,-7.109762738487743
coryphaena hippurus,GIN,-2.8941993149935823,-2.0935379350890058
coryphaena hippurus,GNB,-5.139912959993176,-4.524218269626816
coryphaena hippurus,HND,0.6496858329324121,1.0725160135794203
coryphaena hippurus,IDN,-3.5114184592919964,-0.4259478972292139
coryphaena hippurus,IDN,-15.616536522546806,-17.014554704889477
coryphaena hippurus,KIR,5.042345405056568,-0.6696794769388664
coryphaena hippurus,KIR,-1.224056942873994,-3.6318982802590667
coryphaena hippurus,KOR,7.826956257321613,4.311021451574796
coryphaena hippurus,MHL,-0.7669330581677571,0.051138332920262666
coryphaena hippurus,MEX,3.9866617884248114,3.7442534860578887
coryphaena hippurus,FSM,-6.785493008581153,-4.591684225644484
coryphaena hippurus,MAR,4.049009600868646,5.967398018124233
coryphaena hippurus,MOZ,-0.7377033584703551,0.6357079593851125
coryphaena hippurus,MMR,-0.5088852744434526,-1.9187587869929938
coryphaena hippurus,NRU,3.8624671209412735,0.3733455335417752
coryphaena hippurus,NGA,-0.7247024647706998,-1.7760094702977398
coryphaena hippurus,PLW,-28.24918724740882,-23.458252839269324
coryphaena hippurus,PNG,-13.832730103904495,-16.39182094611992
coryphaena hippurus,RUS,-0.7993799531578626,-4.117586746889342
coryphaena hippurus,WSM,-2.626598931975583,0.12497584115762424
coryphaena hippurus,STP,-2.354906420208874,-3.113949381956825
coryphaena hippurus,SEN,-3.9067659464504025,-3.140500832714955
coryphaena hippurus,SGP,-31.70158765234166,-34.28886254746553
coryphaena hippurus,SLB,-15.201636715715914,-15.710817496185367
coryphaena hippurus,SOM,1.5082612473843873,1.0692169394640945
coryphaena hippurus,SYR,NA,NA
coryphaena hippurus,TWN,-3.1038598271074633,-2.035011493028962
coryphaena hippurus,NA,-9.246897792157291,-9.768052149852648
coryphaena hippurus,TUN,-4.082056114831391,-2.266952276520662
coryphaena hippurus,TUR,-23.376122004853414,-9.400476529088477
coryphaena hippurus,TUV,-13.899204172185506,-12.846145546608085
coryphaena hippurus,UKR,-7.21739095464202,-11.363573588898012
coryphaena hippurus,VUT,-3.2838741391978967,-4.5733484277531735
coryphaena hippurus,VNM,-4.544241209222013,-3.309257366632888
merluccius senegalensis,GMB,-7.504632800127043,-13.811862829710714
merluccius senegalensis,GIN,-4.16271072695397,0.33567591710032174
merluccius senegalensis,GNB,-13.248709228241257,-14.382796806477923
merluccius senegalensis,MAR,0.07145490733869712,-1.685256581494312
merluccius senegalensis,SEN,-7.76694041097988,-10.557156869499147
epinephelus guttatus,MEX,0.40357585331597423,-0.2475678239086827
epinephelus morio,IDN,-24.264204628975165,-19.492418409066282
epinephelus morio,IDN,-2.297370839017054,-3.005819641435189
epinephelus morio,MEX,2.6357682816673464,5.837047765858552
epinephelus morio,MMR,-0.8031188363055122,-2.2145842468742476
epinephelus striatus,MEX,2.2107111459687436,1.450171600443964
argentina sphyraena,ALB,-21.15325178375856,-13.744040724417845
argentina sphyraena,FRA,-15.558347279117301,-11.431263905420996
argentina sphyraena,GRC,-18.20249107471451,-13.548614889178682
argentina sphyraena,HRV,-0.7993397759823141,1.82824500018336
argentina sphyraena,FRA,2.8728214587442227,1.2077381289786167
argentina sphyraena,FRA,4.983497838726669,7.601315386345339
argentina sphyraena,GRC,-23.266318780302996,-17.415026702465468
argentina sphyraena,MNE,-20.323676650989775,-11.748504650572816
argentina sphyraena,MAR,-3.609660734510379,-10.018447738565463
argentina sphyraena,POL,1.506378046979873,-1.9358269433468065
argentina sphyraena,TUN,-14.68845704865859,-11.498040789725703
clupea harengus,CAN,138.719762671663,129.84410371125688
clupea harengus,FRA,-13.773201085920567,-11.522835890137364
clupea harengus,POL,-0.46349569317237727,2.045371642356367
clupea harengus,NA,51.008884248381335,21.811935101183412
glyptocephalus cynoglossus,CAN,NA,NA
glyptocephalus cynoglossus,FRA,4.96398275080733,2.0502609136830117
glyptocephalus cynoglossus,NA,6752.227707046344,175.6534164512074
lepidorhombus boscii,ALB,9.143891603433554,0.7456909551300864
lepidorhombus boscii,CAN,36.40819666829998,46.29922696006455
lepidorhombus boscii,CHN,-1.5193611610411322,-4.267323276563207
lepidorhombus boscii,FRA,0.9331878911780263,4.157600832766866
lepidorhombus boscii,GRC,-1.675691235682774,-3.2421380258580395
lepidorhombus boscii,HRV,-2.209283047054851,2.895089993026997
lepidorhombus boscii,EGY,9.582921542597633,4.759526649970349
lepidorhombus boscii,FRA,5.09949893003468,1.8299261768152604
lepidorhombus boscii,FRA,4.802470376115425,6.486607682389385
lepidorhombus boscii,GRC,-10.333867909199006,-10.347623992140335
lepidorhombus boscii,KOR,-1.2119366355436065,-3.451270129940177
lepidorhombus boscii,MEX,-52.81277801817955,NA
lepidorhombus boscii,MNE,14.512102089109247,9.675588304846693
lepidorhombus boscii,MAR,6.380971517098087,3.214055968069817
lepidorhombus boscii,POL,-0.9570139248849159,-2.8928424217317015
