sciname,eez_iso3c,ssp126,ssp585
engraulis ringens,ECU,-28.25429014196179,-33.266899378729036
orthopristis chrysoptera,MEX,0.27526847581725455,-0.25424084083586695
coryphaena hippurus,ALB,-43.161464036009086,-48.48451632728939
coryphaena hippurus,ASM,-0.49163803708490317,2.1404239117306867
coryphaena hippurus,CMR,0.29882308428858184,-1.8412454188062441
coryphaena hippurus,CHN,-2.2784593393880095,-1.916687536343078
coryphaena hippurus,COD,-4.195126817799104,-3.5263408423180036
coryphaena hippurus,COG,-3.891149197652783,-3.063301339266864
coryphaena hippurus,COK,-1.0830087639515302,3.1564207541164486
coryphaena hippurus,FRA,27.04869326513133,19.471435456849033
coryphaena hippurus,GRC,27.87262481336187,20.687964827752676
coryphaena hippurus,HRV,-100,-100
coryphaena hippurus,ECU,0.5720218031735238,0.5912754264063513
coryphaena hippurus,EGY,44.54495090060263,25.068536403767393
coryphaena hippurus,SLV,-2.108724082479461,-3.3488329028947503
coryphaena hippurus,GNQ,-4.847810666748228,-5.439429064199937
coryphaena hippurus,FRA,25.23892144504415,18.686807477004315
coryphaena hippurus,GAB,-3.3053511449451825,-2.7410063931978077
coryphaena hippurus,GMB,-4.820973689577754,-3.641876603489927
coryphaena hippurus,GRC,24.62135092165609,18.74575611025929
coryphaena hippurus,GTM,-5.657100427395083,-6.503340478410436
coryphaena hippurus,GIN,-3.6987303752527576,-2.526210943061623
coryphaena hippurus,GNB,-5.334873067937747,-4.424495693567942
coryphaena hippurus,HND,-0.3345294918833034,0.5356401114430236
coryphaena hippurus,IDN,-3.21690698478981,-0.27189585146483186
coryphaena hippurus,IDN,-11.522762919404617,-10.51593987024185
coryphaena hippurus,KIR,6.060447312974576,0.9798524196256716
coryphaena hippurus,KIR,-0.9608226483587877,-1.8351585082726072
coryphaena hippurus,KOR,9.407961996517692,4.6696852658277
coryphaena hippurus,MHL,-0.6597323263680017,0.5982013696191278
coryphaena hippurus,MEX,3.0360756150898687,2.5447341926658593
coryphaena hippurus,FSM,-5.895030901772133,-2.418688840416473
coryphaena hippurus,MNE,-100,-100
coryphaena hippurus,MAR,3.430290292631275,6.278469051958328
coryphaena hippurus,MOZ,-0.30178572171362117,0.733987548282485
coryphaena hippurus,MMR,-0.39442714685756325,-0.9887870960684428
coryphaena hippurus,NRU,5.719442026362101,2.7544966907277715
coryphaena hippurus,NGA,-1.2491062604002392,-2.3629936151241333
coryphaena hippurus,PLW,-21.48999023176793,-16.798561231089856
coryphaena hippurus,PNG,-8.847599847420174,-9.28333841996843
coryphaena hippurus,RUS,15.397690564894374,9.175812502305051
coryphaena hippurus,WSM,-1.5930917167728578,1.8943712730099584
coryphaena hippurus,STP,-2.620123801162797,-3.546915399188589
coryphaena hippurus,SEN,-4.1932329175640914,-2.962396055897534
coryphaena hippurus,SGP,-0.8161712283867051,-10.697706742606059
coryphaena hippurus,SLB,-13.531516219555138,-12.6716296964618
coryphaena hippurus,SOM,1.8224878615519677,0.800212622680235
coryphaena hippurus,SYR,35.21117031493501,13.334631374102543
coryphaena hippurus,TWN,-3.1279421866383355,-2.3384779687202824
coryphaena hippurus,NA,-10.318352754159383,-11.239168682008087
coryphaena hippurus,TUN,15.21550318295766,13.521002232980935
coryphaena hippurus,TUR,39.19576244667965,22.24113576123091
coryphaena hippurus,TUV,-12.372110902922984,-14.940183321322623
coryphaena hippurus,UKR,8.635809604650529,3.2387466862620027
coryphaena hippurus,VUT,-2.347001326891583,-3.708854044425282
coryphaena hippurus,VNM,-4.350433680848116,-2.838777377340112
scomberoides lysan,ASM,11.05185037094751,13.291288529902543
scomberoides lysan,IND,8.600118357667602,8.164681110140204
scomberoides lysan,AUS,8.939748826330774,8.633800091244579
scomberoides lysan,BHR,-74.09974019348692,-100
scomberoides lysan,BGD,9.635357915284752,5.97681866713942
scomberoides lysan,BRN,1.1857304933475086,0.6742850082022758
scomberoides lysan,KHM,6.058165281524875,6.7416496669932835
scomberoides lysan,NA,11.287122068608257,8.749455241905023
scomberoides lysan,CHN,9.395689169449135,7.496856140691294
scomberoides lysan,NA,7.118312126981077,9.94491384456541
scomberoides lysan,COM,18.063283455396867,22.501187726034882
scomberoides lysan,COK,5.576935781064,12.461095546873278
scomberoides lysan,DJI,7.695444488741324,6.941841707668681
scomberoides lysan,EGY,26.8875109183655,26.103825058441373
scomberoides lysan,ERI,6.5175922808528695,6.491624439153116
scomberoides lysan,FJI,13.457359398443149,16.40533556238292
scomberoides lysan,PYF,11.137417016002626,14.564480568729662
scomberoides lysan,FRA,11.420434226148359,15.645502980818009
scomberoides lysan,USA,16.063767285682154,15.380923288572124
scomberoides lysan,USA,23.2246687698244,24.772926628415313
scomberoides lysan,NA,16.2541670555732,20.2022116211636
scomberoides lysan,HKG,11.376500588710735,5.493209426595742
scomberoides lysan,IND,8.75642870512715,7.699679482414989
scomberoides lysan,IDN,2.2239561303610356,4.0336733155154105
scomberoides lysan,IDN,-5.119431939003844,-3.978271013266745
scomberoides lysan,IDN,-2.9295581569498217,1.5238208213958153
scomberoides lysan,IRN,13.205455418416504,17.773984466088816
scomberoides lysan,NA,7.951710603620405,8.306788744971389
scomberoides lysan,JPN,49.351448917307124,49.214009934797545
scomberoides lysan,JPN,32.99008458659561,25.480233560665578
scomberoides lysan,USA,10.344226011750505,10.32550599820152
scomberoides lysan,KEN,15.588616104019314,21.46443737175877
scomberoides lysan,KIR,13.504882069982383,8.876539050381846
scomberoides lysan,KIR,23.047049098454305,27.207629920595128
scomberoides lysan,KIR,14.041081779937016,13.566199247252236
scomberoides lysan,KOR,59.49584139251955,43.66625256498939
scomberoides lysan,MDG,11.464140129941715,15.514732424751392
scomberoides lysan,MYS,1.7716075895971448,3.0281581892392246
scomberoides lysan,MYS,-11.908253813902457,-4.764897512399723
scomberoides lysan,MYS,-0.16502477084514647,-1.0073194033343473
scomberoides lysan,MYS,1.169509539538038,1.5744139962877832
scomberoides lysan,MDV,6.799489739501682,5.412433289584909
scomberoides lysan,MHL,4.815629211095407,5.050065391473057
scomberoides lysan,MUS,15.625524766954523,19.175947382370943
scomberoides lysan,NA,18.249651709671124,22.877299270521526
scomberoides lysan,FSM,-0.6501776726329319,2.41986315897518
scomberoides lysan,MOZ,15.733806758704072,18.431658046581912
scomberoides lysan,NA,11.984817643014376,15.761115698752976
scomberoides lysan,MMR,8.993601864011891,7.186760157156374
scomberoides lysan,NA,10.651269444674327,12.493894452686884
scomberoides lysan,NA,11.13764341489388,22.807417885017482
scomberoides lysan,OMN,15.0590810066373,17.758841716384385
scomberoides lysan,OMN,15.770869891462334,17.7658121444491
scomberoides lysan,PAK,12.665086433170831,13.34592562725951
scomberoides lysan,PLW,-0.4279995314364622,3.9287771542855827
scomberoides lysan,USA,10.389697415546681,9.933029176795834
scomberoides lysan,PNG,-4.429550500219258,-5.565398379616746
scomberoides lysan,PHL,4.086808124289897,4.379066688560906
scomberoides lysan,QAT,-16.82735936258263,33.06550498400117
scomberoides lysan,NA,12.434052882573479,19.0238884233167
scomberoides lysan,WSM,8.709466624630814,11.499651619780774
scomberoides lysan,NA,-88.88231148028287,-100
scomberoides lysan,SAU,9.408867168663432,10.123606181425759
scomberoides lysan,SYC,13.27587379265772,14.758385672825238
scomberoides lysan,SGP,-3.998956212506921,-5.4669458253444265
scomberoides lysan,SLB,-8.169197092201976,-7.175727776424063
scomberoides lysan,SOM,13.11347095523169,13.522666988709531
scomberoides lysan,ZAF,18.161602668694997,21.349004428031858
scomberoides lysan,LKA,9.178960610125209,9.743842093355422
scomberoides lysan,SDN,13.56421411037609,13.316502776814001
scomberoides lysan,TWN,14.763422914886565,12.498039127454675
scomberoides lysan,TZA,13.181368967775809,17.748985235833068
scomberoides lysan,THA,2.1401847115359973,1.9984702433409167
scomberoides lysan,THA,5.073306404091385,5.602677743006176
scomberoides lysan,TLS,7.976689464705379,7.3725381559062395
scomberoides lysan,NA,-2.6862069196112714,1.2263263682694625
scomberoides lysan,TON,12.112101607308723,15.172138889782095
scomberoides lysan,TUV,6.555385876986856,10.075814379480864
scomberoides lysan,ARE,21.023067461012324,27.79374079402481
scomberoides lysan,ARE,15.313563647838507,18.163007424700588
scomberoides lysan,VUT,9.104037607314211,9.233139756238153
scomberoides lysan,VNM,6.920413232366048,6.288596009049847
scomberoides lysan,USA,12.677533031439266,12.63389824845596
scomberoides lysan,NA,4.639751684459337,7.435880169240411
scomberoides lysan,NA,12.955144186117373,11.894951581874729
scomberoides lysan,YEM,4.6755154601870395,5.026433866585014
epinephelus guttatus,MEX,2.7960234212369826,1.9234241457050343
epinephelus morio,MEX,2.8490837484476774,3.818232687934981
epinephelus striatus,MEX,4.8886416886911634,5.405007778951645
argentina sphyraena,ALB,-20.517821563656838,-15.090257492123266
argentina sphyraena,FRA,-14.652409901703477,-10.096203930637209
argentina sphyraena,GRC,-15.174157514442944,-11.581665833438976
argentina sphyraena,HRV,-3.8128422310562584,-0.17183725663597618
argentina sphyraena,FRA,1.7838500175383527,-0.28620804743923944
argentina sphyraena,FRA,5.004012899365139,5.728148536385104
argentina sphyraena,GRC,-20.274146193861576,-16.874460344469327
argentina sphyraena,MNE,-19.909720242533893,-12.963339545681892
argentina sphyraena,MAR,-6.205716188412511,-11.343086083098036
argentina sphyraena,TUN,-14.27441005262768,-10.957731821925204
clupea harengus,CAN,54.3851992292025,54.844509657553886
clupea harengus,FRA,-13.279888378288405,-12.385354163017281
clupea harengus,POL,-0.6448799321748533,2.01251828307294
clupea harengus,NA,47.839976619069894,20.606475830434057
glyptocephalus cynoglossus,CAN,27.156030580623163,18.26622809936844
glyptocephalus cynoglossus,FRA,-8.530813488127524,-7.391609951280015
lepidorhombus boscii,ALB,3.726824522501548,-2.3841809238478375
lepidorhombus boscii,CAN,23.19610792303377,27.878272512158826
lepidorhombus boscii,CHN,-3.2606182232147014,-3.62687432211436
lepidorhombus boscii,FRA,2.1595804116673447,5.65240212708512
lepidorhombus boscii,GRC,3.6150791217199765,1.6050844707438352
lepidorhombus boscii,HRV,0.11752711763152868,2.3138439510752433
lepidorhombus boscii,EGY,9.787185706944944,8.721809595208185
lepidorhombus boscii,FRA,4.6533565314551915,0.6560074982477756
